,acronym,atlas_id,color_hex_triplet,depth,failed,failed_facet,graph_id,graph_order,hemisphere_id,id,neuro_name_structure_id,neuro_name_structure_id_path,ontology_id,parent_structure_id,safe_name,sphinx_id,st_level,structure_id_path,structure_name_facet,weight
0,root,-1,FFFFFF,0,FALSE,734881840,1,0,3,997,,,1,,root,1,,/997/,385153371,8690
1,grey,0,BFDAE3,1,FALSE,734881840,1,1,3,8,,,1,997,Basic cell groups and regions,2,,/997/8/,2244697386,8690
2,CH,70,B0F0FF,2,FALSE,734881840,1,2,3,567,,,1,8,Cerebrum,3,,/997/8/567/,2878815794,8690
3,CTX,85,B0FFB8,3,FALSE,734881840,1,3,3,688,,,1,567,Cerebral cortex,4,,/997/8/567/688/,3591311804,8690
4,CTXpl,86,70FF70,4,FALSE,734881840,1,4,3,695,,,1,688,Cortical plate,5,,/997/8/567/688/695/,3945900931,8690
5,Isocortex,746,70FF71,5,FALSE,734881840,1,5,3,315,,,1,695,Isocortex,6,,/997/8/567/688/695/315/,2323732626,8690
6,FRP,871,268F45,6,FALSE,734881840,1,6,3,184,,,1,315,Frontal pole cerebral cortex,7,,/997/8/567/688/695/315/184/,2565719060,8690
7,FRP1,998,268F45,7,FALSE,734881840,1,7,3,68,,,1,184,Frontal pole layer 1,8,,/997/8/567/688/695/315/184/68/,1397862467,8690
8,FRP2/3,1073,268F45,7,FALSE,734881840,1,8,3,667,,,1,184,Frontal pole layer 2/3,9,,/997/8/567/688/695/315/184/667/,4268100038,8690
9,FRP5,,268F45,7,FALSE,734881840,1,9,3,526157192,,,1,184,Frontal pole layer 5,10,,/997/8/567/688/695/315/184/526157192/,1413248090,8690
10,FRP6a,,268F45,7,FALSE,734881840,1,10,3,526157196,,,1,184,Frontal pole layer 6a,11,,/997/8/567/688/695/315/184/526157196/,1215326494,8690
11,FRP6b,,268F45,7,FALSE,734881840,1,11,3,526322264,,,1,184,Frontal pole layer 6b,12,,/997/8/567/688/695/315/184/526322264/,3514382500,8690
12,MO,203,1F9D5A,6,FALSE,734881840,1,12,3,500,,,1,315,Somatomotor areas,13,,/997/8/567/688/695/315/500/,356591023,8690
13,MO1,1003,1F9D5A,7,FALSE,734881840,1,13,3,107,,,1,500,Somatomotor areas Layer 1,14,,/997/8/567/688/695/315/500/107/,900612548,8690
14,MO2/3,1017,1F9D5A,7,FALSE,734881840,1,14,3,219,,,1,500,Somatomotor areas Layer 2/3,15,,/997/8/567/688/695/315/500/219/,1075749695,8690
