id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name
997,-1,root,root,,1,3,8690,,0,1,0,/997/,FFFFFF,,,f,1,385153371,734881840,root
8,0,Basic cell groups and regions,grey,,1,3,8690,997,1,1,1,/997/8/,BFDAE3,,,f,2,2244697386,734881840,Basic cell groups and regions
567,70,Cerebrum,CH,,1,3,8690,8,2,1,2,/997/8/567/,B0F0FF,,,f,3,2878815794,734881840,Cerebrum
688,85,Cerebral cortex,CTX,,1,3,8690,567,3,1,3,/997/8/567/688/,B0FFB8,,,f,4,3591311804,734881840,Cerebral cortex
695,86,Cortical plate,CTXpl,,1,3,8690,688,4,1,4,/997/8/567/688/695/,70FF70,,,f,5,3945900931,734881840,Cortical plate
315,746,Isocortex,Isocortex,,1,3,8690,695,5,1,5,/997/8/567/688/695/315/,70FF71,,,f,6,2323732626,734881840,Isocortex
184,871,"Frontal pole cerebral cortex",FRP,,1,3,8690,315,6,1,6,/997/8/567/688/695/315/184/,268F45,,,f,7,2565719060,734881840,Frontal pole cerebral cortex
68,998,"Frontal pole layer 1",FRP1,,1,3,8690,184,7,1,7,/997/8/567/688/695/315/184/68/,268F45,,,f,8,1397862467,734881840,Frontal pole layer 1
667,1073,"Frontal pole layer 2/3",FRP2/3,,1,3,8690,184,7,1,8,/997/8/567/688/695/315/184/667/,268F45,,,f,9,4268100038,734881840,Frontal pole layer 2/3
526157192,,"Frontal pole layer 5",FRP5,,1,3,8690,184,7,1,9,/997/8/567/688/695/315/184/526157192/,268F45,,,f,10,1413248090,734881840,Frontal pole layer 5
526157196,,"Frontal pole layer 6a",FRP6a,,1,3,8690,184,7,1,10,/997/8/567/688/695/315/184/526157196/,268F45,,,f,11,1215326494,734881840,Frontal pole layer 6a
526322264,,"Frontal pole layer 6b",FRP6b,,1,3,8690,184,7,1,11,/997/8/567/688/695/315/184/526322264/,268F45,,,f,12,3514382500,734881840,Frontal pole layer 6b
500,203,Somatomotor areas,MO,,1,3,8690,315,6,1,12,/997/8/567/688/695/315/500/,1F9D5A,,,f,13,356591023,734881840,Somatomotor areas
107,1003,"Somatomotor areas Layer 1",MO1,,1,3,8690,500,7,1,13,/997/8/567/688/695/315/500/107/,1F9D5A,,,f,14,900612548,734881840,Somatomotor areas Layer 1
219,1017,"Somatomotor areas Layer 2/3",MO2/3,,1,3,8690,500,7,1,14,/997/8/567/688/695/315/500/219/,1F9D5A,,,f,15,1075749695,734881840,Somatomotor areas Layer 2/3
299,1027,"Somatomotor areas Layer 5",MO5,,1,3,8690,500,7,1,15,/997/8/567/688/695/315/500/299/,1F9D5A,,,f,16,851674589,734881840,Somatomotor areas Layer 5
644,787,"Somatomotor areas Layer 6a",MO6a,,1,3,8690,500,7,1,16,/997/8/567/688/695/315/500/644/,1F9D5A,,,f,17,1003126892,734881840,Somatomotor areas Layer 6a
947,825,"Somatomotor areas Layer 6b",MO6b,,1,3,8690,500,7,1,17,/997/8/567/688/695/315/500/947/,1F9D5A,,,f,18,2730742230,734881840,Somatomotor areas Layer 6b
985,830,Primary motor area,MOp,,1,3,8690,500,7,1,18,/997/8/567/688/695/315/500/985/,1F9D5A,,,f,19,1852742012,734881840,Primary motor area
320,888,"Primary motor area Layer 1",MOp1,,1,3,8690,985,8,1,19,/997/8/567/688/695/315/500/985/320/,1F9D5A,,,f,20,571569106,734881840,Primary motor area Layer 1
943,966,"Primary motor area Layer 2/3",MOp2/3,,1,3,8690,985,8,1,20,/997/8/567/688/695/315/500/985/943/,1F9D5A,,,f,21,2488357079,734881840,Primary motor area Layer 2/3
648,929,"Primary motor area Layer 5",MOp5,,1,3,8690,985,8,1,21,/997/8/567/688/695/315/500/985/648/,1F9D5A,,,f,22,628930507,734881840,Primary motor area Layer 5
844,1095,"Primary motor area Layer 6a",MOp6a,,1,3,8690,985,8,1,22,/997/8/567/688/695/315/500/985/844/,1F9D5A,,,f,23,3473508879,734881840,Primary motor area Layer 6a
882,1100,"Primary motor area Layer 6b",MOp6b,,1,3,8690,985,8,1,23,/997/8/567/688/695/315/500/985/882/,1F9D5A,,,f,24,1442896821,734881840,Primary motor area Layer 6b
993,831,Secondary motor area,MOs,,1,3,8690,500,7,1,24,/997/8/567/688/695/315/500/993/,1F9D5A,,,f,25,1043755260,734881840,Secondary motor area
656,930,"Secondary motor area layer 1",MOs1,,1,3,8690,993,8,1,25,/997/8/567/688/695/315/500/993/656/,1F9D5A,,,f,26,4032915713,734881840,Secondary motor area layer 1
962,1110,"Secondary motor area layer 2/3",MOs2/3,,1,3,8690,993,8,1,26,/997/8/567/688/695/315/500/993/962/,1F9D5A,,,f,27,3274108161,734881840,Secondary motor area layer 2/3
767,944,"Secondary motor area layer 5",MOs5,,1,3,8690,993,8,1,27,/997/8/567/688/695/315/500/993/767/,1F9D5A,,,f,28,4144803096,734881840,Secondary motor area layer 5
1021,1117,"Secondary motor area layer 6a",MOs6a,,1,3,8690,993,8,1,28,/997/8/567/688/695/315/500/993/1021/,1F9D5A,,,f,29,3489757563,734881840,Secondary motor area layer 6a
1085,1125,"Secondary motor area layer 6b",MOs6b,,1,3,8690,993,8,1,29,/997/8/567/688/695/315/500/993/1085/,1F9D5A,,,f,30,1225271489,734881840,Secondary motor area layer 6b
453,339,Somatosensory areas,SS,,1,3,8690,315,6,1,30,/997/8/567/688/695/315/453/,188064,,,f,31,3016301862,734881840,Somatosensory areas
12993,,"Somatosensory areas layer 1",SS1,,1,3,8690,453,7,1,31,/997/8/567/688/695/315/453/12993/,188064,,,f,32,544207135,734881840,Somatosensory areas layer 1
12994,,"Somatosensory areas layer 2/3",SS2/3,,1,3,8690,453,7,1,32,/997/8/567/688/695/315/453/12994/,188064,,,f,33,3920828838,734881840,Somatosensory areas layer 2/3
12995,,"Somatosensory areas layer 4",SS4,,1,3,8690,453,7,1,33,/997/8/567/688/695/315/453/12995/,188064,,,f,34,1342506384,734881840,Somatosensory areas layer 4
12996,,"Somatosensory areas layer 5",SS5,,1,3,8690,453,7,1,34,/997/8/567/688/695/315/453/12996/,188064,,,f,35,654456070,734881840,Somatosensory areas layer 5
12997,,"Somatosensory areas layer 6a",SS6a,,1,3,8690,453,7,1,35,/997/8/567/688/695/315/453/12997/,188064,,,f,36,719211136,734881840,Somatosensory areas layer 6a
12998,,"Somatosensory areas layer 6b",SS6b,,1,3,8690,453,7,1,36,/997/8/567/688/695/315/453/12998/,188064,,,f,37,3017218874,734881840,Somatosensory areas layer 6b
322,747,Primary somatosensory area,SSp,,1,3,8690,453,7,1,37,/997/8/567/688/695/315/453/322/,188064,,,f,38,131561364,734881840,Primary somatosensory area
793,1089,"Primary somatosensory area layer 1",SSp1,,1,3,8690,322,8,1,38,/997/8/567/688/695/315/453/322/793/,188064,,,f,39,1205993041,734881840,Primary somatosensory area layer 1
346,1033,"Primary somatosensory area layer 2/3",SSp2/3,,1,3,8690,322,8,1,39,/997/8/567/688/695/315/453/322/346/,188064,,,f,40,401998130,734881840,Primary somatosensory area layer 2/3
865,1098,"Primary somatosensory area layer 4",SSp4,,1,3,8690,322,8,1,40,/997/8/567/688/695/315/453/322/865/,188064,,,f,41,931859166,734881840,Primary somatosensory area layer 4
921,1105,"Primary somatosensory area layer 5",SSp5,,1,3,8690,322,8,1,41,/997/8/567/688/695/315/453/322/921/,188064,,,f,42,1082931784,734881840,Primary somatosensory area layer 5
686,934,"Primary somatosensory area layer 6a",SSp6a,,1,3,8690,322,8,1,42,/997/8/567/688/695/315/453/322/686/,188064,,,f,43,3151865880,734881840,Primary somatosensory area layer 6a
719,938,"Primary somatosensory area layer 6b",SSp6b,,1,3,8690,322,8,1,43,/997/8/567/688/695/315/453/322/719/,188064,,,f,44,584382882,734881840,Primary somatosensory area layer 6b
353,751,"Primary somatosensory area nose",SSp-n,,1,3,8690,322,8,1,44,/997/8/567/688/695/315/453/322/353/,188064,,,f,45,3014838097,734881840,Primary somatosensory area nose
558,635,"Primary somatosensory area nose layer 1",SSp-n1,,1,3,8690,353,9,1,45,/997/8/567/688/695/315/453/322/353/558/,188064,,,f,46,3903637663,734881840,Primary somatosensory area nose layer 1
838,953,"Primary somatosensory area nose layer 2/3",SSp-n2/3,,1,3,8690,353,9,1,46,/997/8/567/688/695/315/453/322/353/838/,188064,,,f,47,2369110310,734881840,Primary somatosensory area nose layer 2/3
654,647,"Primary somatosensory area nose layer 4",SSp-n4,,1,3,8690,353,9,1,47,/997/8/567/688/695/315/453/322/353/654/,188064,,,f,48,2563128336,734881840,Primary somatosensory area nose layer 4
702,653,"Primary somatosensory area nose layer 5",SSp-n5,,1,3,8690,353,9,1,48,/997/8/567/688/695/315/453/322/353/702/,188064,,,f,49,4022406278,734881840,Primary somatosensory area nose layer 5
889,1101,"Primary somatosensory area nose layer 6a",SSp-n6a,,1,3,8690,353,9,1,49,/997/8/567/688/695/315/453/322/353/889/,188064,,,f,50,3350071961,734881840,Primary somatosensory area nose layer 6a
929,1106,"Primary somatosensory area nose layer 6b",SSp-n6b,,1,3,8690,353,9,1,50,/997/8/567/688/695/315/453/322/353/929/,188064,,,f,51,1588026147,734881840,Primary somatosensory area nose layer 6b
329,748,"Primary somatosensory area barrel field",SSp-bfd,,1,3,8690,322,8,1,51,/997/8/567/688/695/315/453/322/329/,188064,,,f,52,3406319794,734881840,Primary somatosensory area barrel field
981,971,"Primary somatosensory area barrel field layer 1",SSp-bfd1,,1,3,8690,329,9,1,52,/997/8/567/688/695/315/453/322/329/981/,188064,,,f,53,3178183090,734881840,Primary somatosensory area barrel field layer 1
201,1015,"Primary somatosensory area barrel field layer 2/3",SSp-bfd2/3,,1,3,8690,329,9,1,53,/997/8/567/688/695/315/453/322/329/201/,188064,,,f,54,1738869888,734881840,Primary somatosensory area barrel field layer 2/3
1047,979,"Primary somatosensory area barrel field layer 4",SSp-bfd4,,1,3,8690,329,9,1,54,/997/8/567/688/695/315/453/322/329/1047/,188064,,,f,55,3439709501,734881840,Primary somatosensory area barrel field layer 4
1070,982,"Primary somatosensory area barrel field layer 5",SSp-bfd5,,1,3,8690,329,9,1,55,/997/8/567/688/695/315/453/322/329/1070/,188064,,,f,56,3120758187,734881840,Primary somatosensory area barrel field layer 5
1038,978,"Primary somatosensory area barrel field layer 6a",SSp-bfd6a,,1,3,8690,329,9,1,56,/997/8/567/688/695/315/453/322/329/1038/,188064,,,f,57,2183435549,734881840,Primary somatosensory area barrel field layer 6a
1062,981,"Primary somatosensory area barrel field layer 6b",SSp-bfd6b,,1,3,8690,329,9,1,57,/997/8/567/688/695/315/453/322/329/1062/,188064,,,f,58,455984295,734881840,Primary somatosensory area barrel field layer 6b
480149202,,Rostrolateral lateral visual area,VISrll,,1,3,8690,329,9,1,58,/997/8/567/688/695/315/453/322/329/480149202/,188064,,,f,59,3664552515,734881840,Rostrolateral lateral visual area
480149206,,"Rostrolateral lateral visual area layer 1",VISrll1,,1,3,8690,480149202,10,1,59,/997/8/567/688/695/315/453/322/329/480149202/480149206/,188064,,,f,60,3014325736,734881840,Rostrolateral lateral visual area layer 1
